"","UBIDPTO","REGION","ZONA","OCU","INFORM","SEXO","GEDUC","AEDUC","AEDAD","AEDAD2","WS","LWS"
"673","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,23,529,287.421681571221,5.66095041120035
"674","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",12,19,361,119.287573188296,4.78153715928858
"675","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",15,26,676,184.953272641146,5.22010321285641
"676","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",1,61,3721,25.583540616268,3.24194920003092
"677","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",0,60,3600,106.495802880162,4.66810557479696
"678","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",2,40,1600,34.8657247678975,3.55150424829278
"679","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",0,58,3364,30.2246326920827,3.40865724397318
"680","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",4,41,1681,104.63553043655,4.65048317307865
"681","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,30,900,44.1862650523849,3.78841399537113
"682","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",3,37,1369,13.9424542938732,2.63493845108887
"683","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",6,33,1089,78.8410310895635,4.36743356045323
"684","13","Sierra","Rural","Ocupado","Informal","Masculino","Secundaria",11,24,576,57.4383089548146,4.0507114841049
"685","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",2,68,4624,39.0657213158455,3.66524538978216
"686","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",3,42,1764,163.038679672832,5.09398747126223
"687","13","Sierra","Rural","Ocupado","Informal","Masculino","Primaria",2,30,900,13.9424542938732,2.63493845108887
"688","13","Sierra","Rural","Ocupado","Informal","Femenino","Primaria",1,51,2601,62.3095378277771,4.13211450922445
"689","13","Sierra","Urbana","Ocupado","Formal","Masculino","Secundaria",11,56,3136,439.887309681663,6.08651857974957
"690","13","Sierra","Urbana","Ocupado","Informal","Femenino","Secundaria",11,62,3844,46.5068110902923,3.83959877692693
"691","13","Sierra","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",18,41,1681,476.747553358175,6.16698711254953
